Symbol,Name,Country,IPO Year,Volume,Sector,Industry
DUOT,Duos Technologies Group Inc. Common Stock,United States,,31519,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,United States,2021,2232148,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,United States,,829120,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004,1962538,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,United States,1985,6901843,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,United States,,13955,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,United States,,1718459,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,11133,,
DXC,DXC Technology Company Common Stock ,United States,,874200,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,United States,2005,3241257,Health Care,Medical/Dental Instruments
DXLG,Destination XL Group Inc. Common Stock,United States,,546205,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,United States,,58256,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,United States,,5237,Health Care,Medical/Dental Instruments
DXYN,Dixie Group Inc. (The) Common Stock,United States,,2901,Consumer Discretionary,Home Furnishings
DXYZ,Destiny Tech100 Inc. Common Stock,,2024,303723,,
